,Unnamed: 0,GDP,PCE,Inv,G
0,1980-03-01,5903.4,3796.7,778.3,1365.4
1,1980-06-01,5782.4,3710.5,708.1,1369.7
2,1980-09-01,5771.7,3750.3,654.1,1350.8
3,1980-12-01,5878.4,3800.3,720.6,1349.4
4,1981-03-01,6000.6,3821.1,792.2,1367.3
5,1981-06-01,5952.7,3821.1,754.5,1370.4
6,1981-09-01,6025.0,3836.6,801.3,1367.3
7,1981-12-01,5950.0,3807.6,770.2,1379.9
8,1982-03-01,5852.3,3832.2,690.0,1378.5
9,1982-06-01,5884.0,3845.9,689.4,1386.5
10,1982-09-01,5861.4,3875.4,681.3,1396.0
11,1982-12-01,5866.0,3946.1,620.7,1420.1
12,1983-03-01,5938.9,3984.8,642.8,1430.8
13,1983-06-01,6072.4,4063.9,704.8,1443.0
14,1983-09-01,6192.2,4135.7,752.2,1468.0
15,1983-12-01,6320.2,4201.3,831.4,1443.2
16,1984-03-01,6442.8,4237.3,918.4,1457.8
17,1984-06-01,6554.0,4297.9,949.4,1489.2
18,1984-09-01,6617.7,4331.1,971.4,1500.2
19,1984-12-01,6671.6,4388.1,955.5,1532.3
20,1985-03-01,6734.5,4462.5,924.0,1549.9
21,1985-06-01,6791.5,4503.2,939.9,1584.7
22,1985-09-01,6897.6,4588.7,929.6,1625.8
23,1985-12-01,6950.0,4598.8,965.9,1635.5
24,1986-03-01,7016.8,4637.2,963.9,1653.2
25,1986-06-01,7045.0,4686.6,942.5,1688.3
26,1986-09-01,7112.9,4768.5,913.0,1726.6
27,1986-12-01,7147.3,4797.2,914.4,1716.6
28,1987-03-01,7186.9,4789.9,942.3,1723.7
29,1987-06-01,7263.3,4854.0,943.6,1734.6
30,1987-09-01,7326.3,4908.2,944.6,1734.6
31,1987-12-01,7451.7,4920.0,1018.3,1755.6
32,1988-03-01,7490.2,5002.2,960.9,1747.1
33,1988-06-01,7586.4,5038.5,984.3,1751.7
34,1988-09-01,7625.6,5078.3,990.6,1750.7
35,1988-12-01,7727.4,5138.1,1003.7,1786.2
36,1989-03-01,7799.9,5156.9,1042.2,1775.2
37,1989-06-01,7858.3,5180.0,1030.0,1802.8
38,1989-09-01,7920.6,5233.7,1017.9,1819.7
39,1989-12-01,7937.9,5259.3,1007.4,1829.4
40,1990-03-01,8020.8,5300.9,1017.3,1857.6
41,1990-06-01,8052.7,5318.4,1017.6,1860.4
42,1990-09-01,8052.6,5338.6,993.7,1859.8
43,1990-12-01,7982.0,5297.0,930.8,1878.3
44,1991-03-01,7943.4,5282.0,892.9,1885.9
45,1991-06-01,7997.0,5322.2,888.5,1892.5
46,1991-09-01,8030.7,5342.6,910.6,1883.5
47,1991-12-01,8062.2,5340.2,945.4,1875.6
48,1992-03-01,8150.7,5432.0,924.4,1889.9
49,1992-06-01,8237.3,5464.2,985.3,1887.6
50,1992-09-01,8322.3,5524.6,995.5,1897.3
51,1992-12-01,8409.8,5592.0,1027.0,1897.9
52,1993-03-01,8425.3,5614.7,1051.1,1877.9
53,1993-06-01,8479.2,5668.6,1059.4,1876.5
54,1993-09-01,8523.8,5730.1,1058.6,1874.6
55,1993-12-01,8636.4,5781.1,1114.5,1883.9
56,1994-03-01,8720.5,5845.5,1162.6,1859.9
57,1994-06-01,8839.8,5888.8,1230.4,1867.7
58,1994-09-01,8896.7,5936.0,1208.2,1900.5
59,1994-12-01,8995.5,5994.6,1264.6,1884.1
60,1995-03-01,9017.6,6001.6,1277.4,1891.6
61,1995-06-01,9037.0,6050.8,1243.1,1897.9
62,1995-09-01,9112.9,6104.9,1231.1,1893.7
63,1995-12-01,9176.4,6147.8,1265.8,1872.5
64,1996-03-01,9239.3,6204.0,1282.4,1884.5
65,1996-06-01,9399.0,6274.2,1348.9,1911.6
66,1996-09-01,9480.8,6311.8,1416.9,1909.7
67,1996-12-01,9584.3,6363.2,1413.0,1925.9
68,1997-03-01,9658.0,6427.3,1446.0,1929.4
69,1997-06-01,9801.2,6453.3,1538.3,1946.0
70,1997-09-01,9924.2,6563.0,1565.7,1948.2
71,1997-12-01,10000.3,6638.1,1590.7,1951.5
72,1998-03-01,10094.8,6704.1,1666.6,1939.7
73,1998-06-01,10185.6,6819.5,1646.7,1981.9
74,1998-09-01,10320.0,6909.9,1693.9,2000.2
75,1998-12-01,10498.6,7015.9,1748.4,2018.1
76,1999-03-01,10592.1,7085.1,1803.4,2028.4
77,1999-06-01,10674.9,7196.6,1797.1,2036.9
78,1999-09-01,10810.7,7283.1,1842.2,2063.3
79,1999-12-01,11004.8,7385.8,1907.6,2095.9
80,2000-03-01,11033.6,7497.8,1880.9,2078.7
81,2000-06-01,11248.8,7568.3,2011.1,2106.4
82,2000-09-01,11258.3,7642.4,1979.7,2099.8
